id,event_type,road_names,direction,description,start_date,end_date,vehicle_impact,work_zone_type,reduced_speed_limit_kph,beginning_milepost,ending_milepost,num_lanes,lanes_closed,has_workers,geometry_type,num_coordinates
ORC32355109,work-zone,Sprain Brook State Pkwy,unknown,"Bridge rehabilitation on Sprain Brook State Pkwy both directions between Jackson Avenue (Greenburgh) and Dobbs Ferry Road - NY 100B (Greenburgh) D264324/NIGHT/B5501670/32355109 - This work is weather permitting. Plan travel accordingly; delays may exist, Monday October 6th, 2025 thru Saturday October 11th, 2025, Monday thru Friday, 09:00 PM thru 06:00 AM, various lane closures, Tuesday October 14th, 2025 thru Saturday October 18th, 2025 Tuesday/ Wednesday/ Thursday/ Friday, 09:00 PM thru 06:00 AM, various lane closures",2025-10-07T01:00:00.000+00:00,2025-10-19T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32564509,work-zone,US 9,unknown,"Utility work on US 9 both directions at Columbia Street (Poughkeepsie) 2025081070160/NIGHT/32564509 - This work is weather permitting. Plan travel accordingly; delays may exist, Monday October 6th, 2025 thru Saturday October 11th, 2025, Monday thru Friday, 08:00 PM thru 06:00 AM, various lane closures, Monday October 13th, 2025 thru Saturday October 18th, 2025, Monday thru Friday, 08:00 PM thru 06:00 AM, various lane closures",2025-10-07T00:00:00.000+00:00,2025-10-19T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300486233,work-zone,I-81,unknown,"Bridge work on I-81 northbound at Exit 16A - I-481 (Syracuse) lane width restriction of 13 ft, Continuous Monday September 29th,2025 06:00 PM thru Saturday November 29th,2025 06:00 AM All lanes of 3 lanes open northbound,",2025-09-29T22:00:00.000+00:00,2025-11-30T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300486235,work-zone,I-481,unknown,"Barrier repairs on I-481 southbound between Exit 5W - Kirkville Road; CR 53 (De Witt) and Exit 4 - I-690 (De Witt) lane width restriction of 13 ft, Monday September 29th, 2025 thru Wednesday April 1st, 2026, Sunday thru Saturday, 09:00 AM thru 06:00 AM All lanes open",2025-09-29T13:00:00.000+00:00,2026-04-02T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300301057,work-zone,I-91,unknown,"Construction on I-91 northbound between Exit 17 - CT 15 South/Wilbur Cross Parkway (Meriden) and Exit 20 - Country Club Road (Middletown) There will be lane closures on I-91 Northbound from Exits 17 to 20 , Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday thru Friday, 07:00 PM thru 06:00 AM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday thru Friday, 09:00 AM thru 02:00 PM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, 07:00 PM thru 09:00 AM All lanes open",2023-02-23T14:00:00.000+00:00,2025-10-19T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32541409,work-zone,NY 983F - Albany Avenue,unknown,"Safety improvements on NY 983F - Albany Avenue both directions between Flatbush Avenue (Kingston) and Harwich Street (Kingston) D265433/32541409 - This work is weather permitting. Plan travel accordingly; delays may exist, Monday October 6th, 2025 thru Friday October 10th, 2025, Monday thru Friday, 09:00 AM thru 04:00 PM, alternating traffic, Monday October 13th, 2025 thru Friday October 17th, 2025, Monday thru Friday, 09:00 AM thru 04:00 PM, alternating traffic",2025-10-06T13:00:00.000+00:00,2025-11-01T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300301067,work-zone,I-691,unknown,"Construction on I-691 both directions between Exit 9/10 - CT 15 (Meriden) and CT-66 at Exit 12 (Meriden) There will be lane closures on I-691, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday thru Friday, 06:00 PM thru 06:00 AM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday/Tuesday/Wednesday/Thursday/Friday/Saturday, 09:00 AM thru 03:00 PM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, 06:00 PM thru 07:00 AM All lanes open",2023-02-23T14:00:00.000+00:00,2025-10-19T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32448209,work-zone,Taconic State Parkway,unknown,"Bridge rehabilitation on Taconic State Parkway northbound between Exit 11 - NY 134 (Yorktown) and Exit 13 - Underhill Avenue - CR 131 (Yorktown) D265160/B5502170/NIGHT/32448209 - This work is weather permitting. Plan travel accordingly; delays may exist, Monday September 15th, 2025 thru Sunday October 19th, 2025 Monday/ Tuesday/ Wednesday/ Thursday/ Friday/ Saturday, 07:00 PM thru 05:00 AM, various lane closures",2025-09-15T23:00:00.000+00:00,2025-10-20T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300361553,work-zone,I-81,unknown,"Longterm construction on I-81 northbound between Exit 25A - I-90 (Salina) and Exit 26 - US 11; Mattydale (Salina), Continuous Wednesday January 1st,2025 06:00 AM thru Wednesday December 31st,2025 03:00 PM 1 Right lane of 4 lanes closed northbound,",2025-01-01T11:00:00.000+00:00,2026-01-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300301062,work-zone,I-91,unknown,"Construction on I-91 southbound between Exit 20 - Country Club Road (Middletown) and Exit 17 - CT 15 South/Wilbur Cross Parkway (Meriden) There will be lane closures on I-91 Southbound from Exits 20 to 17, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday thru Friday, 06:00 PM thru 06:00 AM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, Monday thru Friday, 09:00 AM thru 03:00 PM All lanes open, Thursday February 23rd, 2023 thru Saturday October 18th, 2025, 08:00 PM thru 11:59 AM All lanes open",2023-02-23T14:00:00.000+00:00,2025-10-19T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300365504,work-zone,I-95,unknown,"Traffic shift on I-95 northbound between Exit 91 - CT 234 (Stonington) The I-95 northbound lane shift beginning before Exit 91 and extending for approximately 2,200 feet will guide traffic to the left side while construction work is being performed along the right side of the Bridge over Taugwonk Road, Continuous Monday May 6th, 2024 12:00 AM thru Friday May 1st, 2026 11:59 PM All lanes open",2024-05-06T04:00:00.000+00:00,2026-05-02T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300365505,work-zone,I-95,unknown,"Traffic shift on I-95 northbound between Exit 93 - CT 216 (North Stonington) I-95 northbound lane shift beginning before Exit 93 and extending for approximately 1,600 feet will guide traffic to the left side while construction work is being performed along the right side of the Bridge over Route 216., Continuous Monday May 6th, 2024 12:00 AM thru Friday May 1st, 2026 11:59 PM All lanes open",2024-05-06T04:00:00.000+00:00,2026-05-02T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
